구분,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
평택시,0.0,113.9,0.0,64.5,180.0,0.0,103.5,108.0,40.0,80.0,95.0,205.4,241.5,106.1,103.0,82.5
안산시,0.0,0.0,315.8,66.5,35.0,110.1,742.2,1231.2,432.9,444.4,251.7,355.0,348.3,275.7,575.0,475.9
시흥시,106.0,349.0,229.0,0.0,0.0,0.0,263.5,386.9,246.8,133.9,114.1,224.0,181.9,155.7,132.0,230.8
김포시,91.3,66.4,81.1,0.0,0.0,0.0,23.1,54.7,105.0,47.4,94.6,175.0,23.6,207.9,357.0,363.6
화성시,773.0,534.0,107.0,223.0,61.0,50.4,685.2,706.2,425.3,530.7,712.4,524.0,561.8,985.7,703.0,908.0
중구,91.0,164.0,120.0,356.1,43.8,0.0,365.3,381.4,143.1,380.1,318.7,205.9,59.0,268.0,481.4,532.9
남동구,0.0,0.0,1007.0,426.0,31.0,100.0,735.4,15.0,732.1,699.0,0.0,27.8,0.0,719.7,842.0,978.9
동구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서구,77.0,32.0,34.0,34.0,76.8,10.0,0.0,0.0,0.0,0.0,25.4,0.0,0.0,33.3,33.5,30.7
강화군,0.0,4114.1,1312.6,1325.9,411.7,1493.0,1491.0,1512.0,27.9,1585.3,0.0,60.2,51.6,1530.8,1417.7,1368.3
옹진군,339.0,477.8,303.1,240.1,429.0,873.6,1236.7,222.5,319.0,99.9,2070.1,202.8,1789.0,3053.8,2639.8,2533.7
연수구,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.9,30.6
강릉시,1203.0,1270.0,573.0,223.0,77.7,787.7,614.4,994.7,797.6,1315.0,1288.0,4082.3,1912.0,1190.1,821.0,1277.3
속초시,633.0,241.0,179.0,730.8,140.1,157.7,294.7,175.8,207.1,241.4,889.6,834.0,2655.7,1126.0,996.2,1007.4
고성군,376.0,1077.9,415.0,204.0,252.2,253.6,477.8,496.8,181.6,319.5,422.9,274.3,611.1,777.6,538.9,2224.1
동해시,345.0,452.8,151.4,29.8,17.7,155.0,364.6,1326.4,326.3,157.5,333.4,338.9,165.0,401.6,398.0,376.0
삼척시,1066.6,832.6,242.0,252.0,1089.4,105.0,155.4,275.2,362.5,142.2,949.0,1011.5,4636.3,570.3,487.7,642.6
양양군,1262.0,208.0,119.0,100.0,105.0,63.1,103.0,58.0,144.7,408.5,889.0,1228.1,2745.0,663.0,904.0,1545.0
보령시,2577.0,2654.4,939.0,1159.1,508.7,814.3,2536.6,1706.7,1620.3,1967.8,2190.4,2935.4,3029.1,1891.5,2241.5,2443.5
아산시,0.0,0.0,9.0,31.0,0.0,0.0,20.0,20.4,12.0,37.0,31.0,25.3,85.3,12.5,21.4,6.5
서산시,0.0,0.0,380.0,346.0,252.5,84.5,291.3,310.2,547.6,312.0,291.6,428.2,550.3,375.0,276.0,337.0
서천군,397.5,868.0,218.0,402.5,300.0,990.0,786.3,619.4,2282.6,1405.9,2241.4,2407.3,2742.1,2814.3,2576.3,4402.9
홍성군,225.0,395.0,298.0,184.5,229.7,239.1,244.0,293.2,234.0,365.8,480.0,209.0,245.3,467.7,302.6,456.5
태안군,109.1,1403.4,1642.0,346.0,1553.0,1185.8,3457.3,2550.0,4899.3,6637.0,6161.6,6064.8,7428.0,7190.5,6784.7,6830.5
당진시,0.0,183.0,0.0,0.0,43.3,18.0,149.0,157.0,97.0,280.5,325.0,295.1,571.7,697.0,716.2,540.2
중구,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.7,0.0,0.0,0.0,132.8,0.0,0.0,0.0
서구,0.0,0.0,0.0,9.1,248.1,0.0,255.5,0.0,0.0,0.0,0.0,20.0,84.9,259.0,350.5,597.0
동구,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
영도구,0.0,37.0,0.0,588.0,171.0,0.0,131.0,0.0,283.0,279.6,56.1,75.6,107.5,62.6,398.2,149.7
남구,0.0,0.0,0.0,0.0,0.0,0.0,1206.6,0.0,0.0,0.0,0.0,0.0,0.0,15.1,11.0,13.3
해운대구,0.0,0.0,84.0,0.0,82.0,0.0,44.2,0.0,144.0,206.7,278.2,228.3,63.1,40.5,82.6,255.1
사하구,761.6,100.0,128.0,98.0,125.2,0.0,1144.7,1076.0,445.4,601.9,138.0,85.9,1290.8,3289.7,778.6,1332.4
강서구,0.0,53.6,151.0,187.9,0.0,0.0,1163.4,1167.2,484.3,0.0,73.2,116.6,25.9,982.4,1419.7,61.0
수영구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.4,19.8,20.0,37.0,43.9,59.9,66.5
기장군,181.8,504.2,271.5,0.0,429.0,114.0,5759.0,1794.9,2032.0,2250.1,3045.4,3534.5,2037.2,2420.7,2795.3,1561.8
항만관리사업소,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,0.0,0.0,0.0,0.0
남구,0.0,0.0,0.0,0.0,0.0,91.6,0.0,22.7,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동구,834.0,1077.1,419.4,259.7,83.3,88.3,495.0,480.0,541.0,477.7,468.9,169.9,536.7,558.7,591.8,532.4
북구,0.0,0.0,0.0,0.0,48.0,243.1,518.5,372.8,942.4,520.1,755.3,112.3,914.4,889.7,1050.2,760.6
울주군,0.0,303.7,160.1,183.3,379.1,72.1,392.5,373.2,315.7,152.6,528.3,861.7,856.5,864.3,1395.7,1261.7
포항시,1408.2,563.9,609.0,1325.6,2398.6,199.5,1088.7,417.9,679.1,2676.0,1045.1,1345.9,6864.1,4445.3,9364.4,1966.0
경주시,68.0,200.0,203.0,62.0,26.6,90.7,125.0,122.0,1453.4,210.6,412.3,1222.9,1383.3,869.8,1246.9,680.9
영덕군,689.0,282.5,241.8,143.0,1328.1,291.2,526.9,340.5,396.1,712.4,588.8,2214.2,989.2,1523.9,1273.5,1264.0
울진군,363.3,227.0,322.2,1039.0,1884.4,741.8,1142.8,576.7,822.9,739.6,786.8,1925.8,1262.2,446.9,680.0,761.0
울릉군,1014.4,599.5,272.0,0.0,0.0,153.3,30.0,49.9,378.7,117.5,120.0,147.0,192.9,411.3,445.0,396.3
창원시,769.7,4343.8,940.5,1295.8,451.9,170.7,1797.2,1050.0,1096.1,780.9,1004.8,2883.5,3414.4,1119.6,805.6,2698.2
창원시 마산합포구,0.0,0.0,0.0,1106.6,88.3,145.5,947.4,1194.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
창원시 진해구,0.0,4597.0,50.0,478.7,320.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
통영시,441.9,604.7,7265.3,1787.0,1619.6,1578.3,1259.4,2709.7,3598.0,4884.0,2350.6,1971.9,2138.7,2122.2,2093.2,2052.0
사천시,215.6,862.0,403.8,445.5,903.6,234.3,449.0,291.3,341.7,356.0,307.9,573.5,481.2,645.0,426.7,686.2
거제시,325.9,3502.3,1087.1,836.3,1068.8,1542.2,2885.4,2236.7,1757.6,2586.6,2270.4,1126.3,5428.9,2538.0,2283.7,4053.5
고성군,308.0,745.6,429.0,799.3,866.9,972.8,1135.9,1438.0,3534.7,5891.3,5355.8,1529.6,730.0,902.4,549.5,830.4
남해군,805.0,1448.7,539.6,2790.0,4840.3,1567.2,1429.3,1484.0,876.1,1764.6,1412.2,1002.6,2039.8,1398.0,2524.0,2547.8
하동군,60.2,477.2,160.7,206.0,78.3,341.5,691.8,447.6,278.3,410.6,249.4,874.4,1231.5,223.5,294.7,233.8
목포시,0.0,3224.8,516.7,1506.2,664.7,713.9,546.6,843.6,901.1,430.0,678.1,671.7,2180.6,1230.1,1245.9,555.9
여수시,540.9,1037.0,300.0,1041.9,503.2,594.2,2890.3,2385.5,3714.3,1294.5,3209.2,2751.5,4240.7,1196.4,3551.9,2696.3
순천시,0.0,200.0,156.5,100.0,200.0,236.7,200.0,160.0,220.0,100.0,95.0,221.0,209.0,236.0,178.3,397.2
광양시,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,147.0,0.0,0.0,1.0,0.0,0.0,0.0
고흥군,0.0,476.0,210.0,348.7,450.0,852.0,2366.0,1296.5,686.7,838.7,1101.5,2192.0,5638.2,3216.7,4066.0,4172.1
보성군,50.0,329.3,514.1,429.9,1463.8,340.1,993.9,456.0,2258.0,1247.3,760.0,1193.0,515.0,1724.4,1521.0,2152.2
장흥군,0.0,54.0,89.0,396.5,82.0,224.3,305.1,1590.0,439.8,1095.0,490.2,1065.3,1526.9,1474.5,1267.7,2238.2
강진군,42.0,50.4,30.0,21.5,326.7,553.0,466.5,298.0,281.0,325.1,252.0,522.7,434.0,441.7,456.3,564.5
해남군,1243.9,1929.2,651.2,761.4,3102.3,1174.7,1492.0,1880.0,1872.0,1460.0,3302.0,3565.5,6829.4,7989.4,5116.9,8001.5
영암군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,154.8,54.3,15.0,0.0,44.4,61.5,90.7
무안군,0.0,64.0,0.0,0.0,122.8,87.0,85.0,236.0,167.2,1238.1,532.0,538.3,1265.3,935.2,645.3,734.4
함평군,0.0,0.0,0.0,25.0,44.9,61.0,103.8,67.0,137.0,172.0,149.8,137.7,262.0,118.6,92.4,6.0
영광군,210.0,190.0,280.0,308.0,625.0,236.5,542.8,530.6,1310.2,1066.8,2453.0,2199.9,2413.0,1183.0,1028.0,1074.7
완도군,800.0,895.2,800.0,4583.3,334.0,346.3,5230.0,2569.3,5927.7,5875.2,9989.8,9180.6,8728.3,5286.5,8568.0,8528.8
진도군,0.0,0.0,0.0,0.0,3427.0,1692.0,1393.0,424.0,2130.2,1406.5,5387.5,3461.9,4783.7,5228.4,5001.8,5918.4
신안군,0.0,709.3,445.2,2514.6,6794.8,694.9,1337.9,4189.3,3219.5,3999.3,5149.9,5002.1,5187.6,5367.0,2790.3,5344.3
군산시,217.2,250.0,937.7,683.4,228.5,240.3,566.0,2035.9,1176.4,1243.3,1916.6,2155.5,2110.9,2471.2,2351.0,2444.1
부안군,235.0,753.3,1016.0,810.0,536.0,484.0,1530.0,957.4,937.5,907.2,1028.0,1851.1,1466.4,2411.6,2438.0,2674.0
고창군,163.5,14.0,52.3,86.0,83.0,0.0,668.3,184.4,175.2,211.9,564.0,327.7,1161.6,899.1,716.1,720.0
김제시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.6,263.5
제주시,0.0,1143.0,440.0,204.7,1276.1,976.7,2920.3,12848.1,2722.7,9518.4,9527.3,8057.9,9806.4,15388.8,5386.2,4967.6
서귀포시,0.0,210.7,208.3,161.1,468.7,371.9,1545.0,1109.6,2720.8,1245.6,2519.9,3938.6,7854.3,6435.3,11727.3,5730.9
합계,25239.5,59437.5,33436.5,92897.6,122365.6,49080.4,76935.8,69128.9,70840.6,82175.4,95632.0,108644.1,138361.9,120736.2,126035.4,131930.7
